톤급,구간,연도,대당_편도운임_원,자료구분,출처
8톤 이상~12톤 미만,수도권-광주권,2025 2분기,405294,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대구권,2022 2분기,335000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대구권,2023 2분기,363333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대구권,2024 2분기,368333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대구권,2025 2분기,351395,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대전권,2022 2분기,236600,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대전권,2023 2분기,234038,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대전권,2024 2분기,261358,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-대전권,2025 2분기,232619,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권내,2022 2분기,200806,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권내,2023 2분기,237000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권내,2024 2분기,182826,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권내,2025 2분기,171538,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,부산권내,2022 2분기,170435,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,부산권내,2023 2분기,177436,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,부산권내,2024 2분기,177931,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,부산권내,2025 2분기,168000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-부산권,2022 2분기,617418,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-부산권,2023 2분기,600435,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-부산권,2024 2분기,568132,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-부산권,2025 2분기,595600,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-광주권,2022 2분기,651429,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-광주권,2023 2분기,485816,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-광주권,2024 2분기,454591,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-광주권,2025 2분기,469104,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대구권,2022 2분기,583429,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대구권,2023 2분기,460370,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대구권,2024 2분기,511176,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대구권,2025 2분기,581983,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대전권,2022 2분기,303615,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대전권,2023 2분기,323731,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대전권,2024 2분기,332128,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권-대전권,2025 2분기,328837,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권내,2022 2분기,261023,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권내,2023 2분기,226154,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권내,2024 2분기,267143,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,수도권내,2025 2분기,273750,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,부산권내,2022 2분기,253542,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,부산권내,2023 2분기,244688,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,부산권내,2024 2분기,212266,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
12톤 이상,부산권내,2025 2분기,237000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
